address,rssi,dist,battery,txPower,interval,roll
d1:0b:14:b3:18:6a,-57,50,43,6,500,-49.52383371595776
f7:9c:08:9a:42:ed,-59,50,50,6,500,-49.540113867131026
f1:96:cd:ee:25:bd,-51,50,47,6,500,-49.425304123741064
f9:b3:b2:3d:53:a5,-45,50,72,6,500,-49.40899672342482
d5:b1:89:8b:b8:c5,-43,50,67,6,500,-49.343500236072394
f9:b3:b2:3d:53:a5,-43,50,72,6,500,-49.097571812431184
d1:0b:14:b3:18:6a,-59,50,43,6,500,-49.113835886976005
fc:02:a0:fa:33:19,-48,50,44,6,500,-49.03186488398175
f7:9c:08:9a:42:ed,-60,50,50,6,500,-49.19573319321812
f1:96:cd:ee:25:bd,-56,50,47,6,500,-49.4089034393393
e3:6f:28:36:5a:db,-58,50,43,6,500,-49.638441025190104
ef:86:35:dd:c3:f7,-53,50,69,6,500,-49.65481657561654
ef:86:35:dd:c3:f7,-59,50,69,6,500,-49.62188917044253
d5:b1:89:8b:b8:c5,-43,50,67,6,500,-49.70405448520367
f1:96:cd:ee:25:bd,-51,50,47,6,500,-49.605633438927825
fc:02:a0:fa:33:19,-49,50,44,6,500,-49.70410225918796
f7:9c:08:9a:42:ed,-65,50,50,6,500,-49.835071514699514
e3:6f:28:36:5a:db,-52,50,43,6,500,-49.73664474263219
d1:0b:14:b3:18:6a,-41,50,43,6,500,-49.91733439167219
f1:96:cd:ee:25:bd,-55,50,47,6,500,-50.09773006602258
e3:6f:28:36:5a:db,-51,50,43,6,500,-50.196188209659304
fc:02:a0:fa:33:19,-47,50,44,6,500,-50.015824671545055
f7:9c:08:9a:42:ed,-64,50,50,6,500,-50.39289574492346
ef:86:35:dd:c3:f7,-53,50,69,6,500,-49.88460484415458
d5:b1:89:8b:b8:c5,-41,50,67,6,500,-49.704314890315395
f9:b3:b2:3d:53:a5,-45,50,72,6,500,-49.34347734508174
d1:0b:14:b3:18:6a,-62,50,43,6,500,-49.76990739518406
e3:6f:28:36:5a:db,-52,50,43,6,500,-49.687804503370124
f9:b3:b2:3d:53:a5,-44,50,72,6,500,-49.50744079168343
fc:02:a0:fa:33:19,-48,50,44,6,500,-49.376195875835556
f7:9c:08:9a:42:ed,-64,50,50,6,500,-49.47419821554787
f1:96:cd:ee:25:bd,-52,50,47,6,500,-49.53979542690605
d1:0b:14:b3:18:6a,-56,50,43,6,500,-49.70374621232734
ef:86:35:dd:c3:f7,-56,50,69,6,500,-49.851288523061456
d5:b1:89:8b:b8:c5,-45,50,67,6,500,-49.473916558952126
f1:96:cd:ee:25:bd,-56,50,47,6,500,-49.5229361603528
e3:6f:28:36:5a:db,-51,50,43,6,500,-49.654222843909864
fc:02:a0:fa:33:19,-47,50,44,6,500,-49.72000161092574
ef:86:35:dd:c3:f7,-49,50,69,6,500,-49.68720084259037
d5:b1:89:8b:b8:c5,-45,50,67,6,500,-49.60529410090736
f9:b3:b2:3d:53:a5,-47,50,72,6,500,-49.44122185530273
d1:0b:14:b3:18:6a,-60,50,43,6,500,-49.49009456107071
f7:9c:08:9a:42:ed,-60,50,50,6,500,-49.67032994993836
e3:6f:28:36:5a:db,-52,50,43,6,500,-49.58815510360595
d1:0b:14:b3:18:6a,-58,50,43,6,500,-49.784866115343355
fc:02:a0:fa:33:19,-47,50,44,6,500,-49.55507992223831
f7:9c:08:9a:42:ed,-65,50,50,6,500,-49.81729149528036
f1:96:cd:ee:25:bd,-53,50,47,6,500,-49.98130698337646
ef:86:35:dd:c3:f7,-53,50,69,6,500,-50.128917612705145
d5:b1:89:8b:b8:c5,-41,50,67,6,500,-49.850164240378135
d1:0b:14:b3:18:6a,-55,50,43,6,500,-50.0305372948571
fc:02:a0:fa:33:19,-48,50,44,6,500,-49.99777117404106
f7:9c:08:9a:42:ed,-65,50,50,6,500,-50.1286642456992
f1:96:cd:ee:25:bd,-53,50,47,6,500,-50.22704455325075
e3:6f:28:36:5a:db,-50,50,43,6,500,-50.358317177986464
ef:86:35:dd:c3:f7,-49,50,69,6,500,-50.57167759643832
d5:b1:89:8b:b8:c5,-43,50,67,6,500,-50.67045434065876
f7:9c:08:9a:42:ed,-58,50,50,6,500,-51.162892439266045
f1:96:cd:ee:25:bd,-52,50,47,6,500,-51.11358946357117
e3:6f:28:36:5a:db,-58,50,43,6,500,-51.507781010430385
fc:02:a0:fa:33:19,-49,50,44,6,500,-51.376496286299286
d1:0b:14:b3:18:6a,-54,50,43,6,500,-51.29417033623894
d5:b1:89:8b:b8:c5,-41,50,67,6,500,-51.13047356482162
fc:02:a0:fa:33:19,-44,50,44,6,500,-51.11454715676128
f7:9c:08:9a:42:ed,-58,50,50,6,500,-51.36077350422446
ef:86:35:dd:c3:f7,-59,50,69,6,500,-51.62341570000175
d5:b1:89:8b:b8:c5,-44,50,67,6,500,-51.37739108833138
f1:96:cd:ee:25:bd,-58,50,47,6,500,-51.54138416946213
e3:6f:28:36:5a:db,-57,50,43,6,500,-51.49180749251189
d1:0b:14:b3:18:6a,-60,50,43,6,500,-51.55699698640522
f9:b3:b2:3d:53:a5,-42,50,72,6,500,-51.2946257906927
f7:9c:08:9a:42:ed,-65,50,50,6,500,-51.49095065543348
e3:6f:28:36:5a:db,-51,50,43,6,500,-51.359574382929694
d1:0b:14:b3:18:6a,-58,50,43,6,500,-51.605730296234306
fc:02:a0:fa:33:19,-47,50,44,6,500,-51.54030110686317
ef:86:35:dd:c3:f7,-49,50,69,6,500,-51.5404946991638
f1:96:cd:ee:25:bd,-53,50,47,6,500,-51.34329410376592
f9:b3:b2:3d:53:a5,-44,50,72,6,500,-51.21229318473366
fc:02:a0:fa:33:19,-44,50,44,6,500,-51.26217121890282
d5:b1:89:8b:b8:c5,-40,50,67,6,500,-51.016282446437145
f1:96:cd:ee:25:bd,-52,50,47,6,500,-51.03272097404973
f9:b3:b2:3d:53:a5,-42,50,72,6,500,-50.95108724674915
e3:6f:28:36:5a:db,-58,50,43,6,500,-50.85224646252314
f7:9c:08:9a:42:ed,-58,50,50,6,500,-50.934015962175096
d1:0b:14:b3:18:6a,-57,50,43,6,500,-51.19675542171105
ef:86:35:dd:c3:f7,-49,50,69,6,500,-51.26278151341637
f7:9c:08:9a:42:ed,-58,50,50,6,500,-51.19671617941099
d1:0b:14:b3:18:6a,-56,50,43,6,500,-51.26219493324831
e3:6f:28:36:5a:db,-53,50,43,6,500,-51.410194528636715
fc:02:a0:fa:33:19,-44,50,44,6,500,-51.34496648792703
d5:b1:89:8b:b8:c5,-45,50,67,6,500,-51.03325559482896
f1:96:cd:ee:25:bd,-52,50,47,6,500,-51.033266024727446
f9:b3:b2:3d:53:a5,-44,50,72,6,500,-50.836493684614524
ef:86:35:dd:c3:f7,-61,50,69,6,500,-50.91796442183685
f1:96:cd:ee:25:bd,-51,50,47,6,500,-51.0167386514826
f9:b3:b2:3d:53:a5,-44,50,72,6,500,-50.81996802982032
d1:0b:14:b3:18:6a,-58,50,43,6,500,-50.93457512573154
f7:9c:08:9a:42:ed,-42,50,50,6,500,-50.85296332833477
e3:6f:28:36:5a:db,-51,50,43,6,500,-50.88591780443898
fc:02:a0:fa:33:19,-48,50,44,6,500,-50.935566152578616
ef:86:35:dd:c3:f7,-53,50,69,6,500,-51.0342033459588
d5:b1:89:8b:b8:c5,-43,50,67,6,500,-50.75538122983843
e3:6f:28:36:5a:db,-58,50,43,6,500,-50.72216669130542
f7:9c:08:9a:42:ed,-65,50,50,6,500,-50.93474614683536
ef:86:35:dd:c3:f7,-60,50,69,6,500,-50.96711169558726
d5:b1:89:8b:b8:c5,-41,50,67,6,500,-50.86905764033339
fc:02:a0:fa:33:19,-48,50,44,6,500,-50.590107086420616
f9:b3:b2:3d:53:a5,-47,50,72,6,500,-50.491764856706894
d1:0b:14:b3:18:6a,-59,50,43,6,500,-50.58986215468552
f1:96:cd:ee:25:bd,-50,50,47,6,500,-50.737981989879934
fc:02:a0:fa:33:19,-44,50,44,6,500,-50.5576306587955
f1:96:cd:ee:25:bd,-55,50,47,6,500,-50.67246575946685
e3:6f:28:36:5a:db,-55,50,43,6,500,-50.508074805198966
d1:0b:14:b3:18:6a,-58,50,43,6,500,-50.5897782839822
d5:b1:89:8b:b8:c5,-41,50,67,6,500,-50.442437969775675
f9:b3:b2:3d:53:a5,-48,50,72,6,500,-50.426205383606586
f7:9c:08:9a:42:ed,-58,50,50,6,500,-50.67235551067962
ef:86:35:dd:c3:f7,-48,50,69,6,500,-50.508268593482576
d5:b1:89:8b:b8:c5,-29,50,67,6,500,-50.13113435452981
fc:02:a0:fa:33:19,-48,50,44,6,500,-49.967070212595026
f1:96:cd:ee:25:bd,-57,50,47,6,500,-50.098166879876814
f9:b3:b2:3d:53:a5,-45,50,72,6,500,-49.95062486043074
e3:6f:28:36:5a:db,-57,50,43,6,500,-50.213201020566835
d1:0b:14:b3:18:6a,-59,50,43,6,500,-50.459217188928896
f7:9c:08:9a:42:ed,-58,50,50,6,500,-50.45891782342625
f7:9c:08:9a:42:ed,-64,50,50,6,500,-50.540389610419965
f1:96:cd:ee:25:bd,-54,50,47,6,500,-50.70454297430645
d1:0b:14:b3:18:6a,-55,50,43,6,500,-50.65512308738003
e3:6f:28:36:5a:db,-50,50,43,6,500,-50.54022441786188
fc:02:a0:fa:33:19,-49,50,44,6,500,-50.359663929421636
d5:b1:89:8b:b8:c5,-41,50,67,6,500,-50.34372776185447
f9:b3:b2:3d:53:a5,-43,50,72,6,500,-49.98279163587381
ef:86:35:dd:c3:f7,-36,50,69,6,500,-49.73703137714533
f9:b3:b2:3d:53:a5,-44,50,72,6,500,-49.50739562402246
e3:6f:28:36:5a:db,-58,50,43,6,500,-49.687690050506326
fc:02:a0:fa:33:19,-47,50,44,6,500,-49.65500689361141
f7:9c:08:9a:42:ed,-58,50,50,6,500,-49.73676621510513
d1:0b:14:b3:18:6a,-57,50,43,6,500,-49.9499842011363
ef:86:35:dd:c3:f7,-59,50,69,6,500,-50.19595929178264
d5:b1:89:8b:b8:c5,-44,50,67,6,500,-50.262019889417736
